product_id,level_1,level_2,level_3,level_4,brand_name,product_name,product_price,first_issue_date
629447903631,,,,,Yuneec,Yuneec Typhoon,,2023-07-04T04:22:11.000+07:00
179033909977,,,,,Potensic,Potensic D80,,2022-11-01T17:18:41.000+07:00
716307221056,,,,,Samsung,Galaxy Watch,,2022-01-30T05:06:37.000+07:00
903546636214,,,,,Contixo,Contixo F22,,2022-07-12T07:30:58.000+07:00
478755792375,,,,,Motorola,Moto G,,2020-11-27T12:26:14.000+07:00
275347992353,,,,,TCL,BlackBerry,,2022-06-06T17:21:52.000+07:00
686574803235,,,,,Panasonic,Panasonic Lumix,,2021-01-05T12:24:55.000+07:00
179138916535,,,,,Yuneec,Yuneec Typhoon,,2022-10-29T08:11:07.000+07:00
555377415658,,,,,Infinix,Infinix Hot,,2021-10-27T13:21:49.000+07:00
994943564179,,,,,Alcatel,Alcatel 3,,2025-02-04T11:01:43.000+07:00
157059738462,,,,,Microsoft,Surface Book,,2023-11-30T13:43:30.000+07:00
199616226853,,,,,Realme,Realme Narzo,,2024-06-03T23:21:51.000+07:00
206527779559,,,,,Tecno,Tecno Spark,,2021-12-26T05:38:33.000+07:00
133664836470,,,,,Fujitsu,Fujitsu Stylistic,,2023-04-24T08:50:32.000+07:00
287385277526,,,,,Huawei,P Series,,2021-03-03T04:55:43.000+07:00
255092672525,,,,,Syma,Syma X8G,,2022-11-03T04:11:03.000+07:00
317918383078,,,,,TCL,BlackBerry,,2020-01-24T08:42:03.000+07:00
472870139823,,,,,Sony,Walkman,,2020-09-05T03:27:15.000+07:00
891020440224,,,,,TCL,Alcatel,,2023-02-06T10:03:54.000+07:00
549713195531,,,,,TCL,Alcatel,,2020-02-07T20:37:10.000+07:00
222312407574,,,,,Oppo,A Series,,2025-03-03T03:06:43.000+07:00
246987326060,,,,,Potensic,Potensic D80,,2020-10-12T15:29:01.000+07:00
322919461988,,,,,Contixo,Contixo F18,,2021-10-24T15:52:10.000+07:00
911413648903,,,,,Motorola,Moto E,,2020-12-22T10:06:20.000+07:00
228165716352,,,,,HP,Spectre,,2022-04-15T22:20:29.000+07:00
630627353063,,,,,Fujifilm,Fujifilm X Series,,2020-12-24T00:01:23.000+07:00
882314443765,,,,,Yuneec,Yuneec Typhoon,,2023-05-18T20:35:32.000+07:00
657816186201,,,,,Netgear,Orbi,,2023-01-05T21:48:39.000+07:00
342205711732,,,,,Logitech,Logitech G,,2020-05-06T17:45:13.000+07:00
691670177665,,,,,Tecno,Tecno Spark,,2023-09-25T09:28:16.000+07:00
104624965474,,,,,Syma,Syma X8G,,2020-08-09T18:07:39.000+07:00
433357986319,,,,,Contixo,Contixo F18,,2022-01-30T18:41:20.000+07:00
127838860490,,,,,HP,Pavilion,,2020-11-05T15:24:29.000+07:00
812849334707,,,,,Microsoft,Surface Laptop,,2023-03-09T08:05:52.000+07:00
394539831958,,,,,Hubsan,Hubsan Zino,,2024-08-20T19:34:54.000+07:00
913075792795,,,,,Tecno,Tecno Spark,,2020-03-25T03:54:17.000+07:00
478860754089,,,,,Contixo,Contixo F18,,2020-02-08T14:50:07.000+07:00
146717074824,,,,,Acer,Predator,,2022-09-26T13:06:35.000+07:00
761239148005,,,,,Ruko,Ruko F11,,2024-03-11T07:21:40.000+07:00
220959884652,,,,,Motorola,Moto Z,,2025-01-16T09:17:44.000+07:00
800896653057,,,,,Vivo,Vivo V Series,,2021-10-21T01:20:22.000+07:00
308283244895,,,,,Motorola,Moto Z,,2024-07-11T18:45:57.000+07:00
105513741467,,,,,BenQ,BenQ PD Series,,2024-11-14T12:47:23.000+07:00
591635414446,,,,,Canon,Canon EOS,,2020-11-12T23:47:14.000+07:00
