store_id,store_name,store_location,region,store_format,first_issue_date
508880196397,Dong Thap 461,Dong Thap,Mekong River Delta,Supermarket,2023-10-14T16:46:48.000+07:00
455629771523,Quang Ngai 314,Quang Ngai,South Central Coast,Retailer,2022-04-10T21:28:55.000+07:00
799147939386,Ba Ria-Vung Tau 593,Ba Ria-Vung Tau,South East,Supermarket,2024-09-10T18:01:08.000+07:00
789953330835,Bac Lieu 970,Bac Lieu,Mekong River Delta,Convenience Store,2023-06-02T01:01:31.000+07:00
180740143165,Ha Noi 979,Ha Noi,North East,Store,2023-01-23T06:05:37.000+07:00
749304581863,Da Nang 739,Da Nang,South Central Coast,Convenience Store,2023-04-06T13:06:50.000+07:00
760655226235,Ninh Binh 295,Ninh Binh,North East,Wholesaler,2021-12-02T08:47:38.000+07:00
895777633332,Dien Bien 681,Dien Bien,North West,Store,2022-12-07T09:24:38.000+07:00
229285000668,Tay Ninh 723,Tay Ninh,South East,Retailer,2022-10-18T09:53:42.000+07:00
483611177244,Thua Thien Hue 491,Thua Thien Hue,North Central Coast,Store,2020-10-25T04:45:53.000+07:00
580233617752,Bac Ninh 322,Bac Ninh,North East,Shop,2024-11-11T09:44:53.000+07:00
266517453054,Thai Binh 508,Thai Binh,Red River Delta,Wholesaler,2022-02-27T23:02:03.000+07:00
305909217956,Son La 895,Son La,North West,Online Store,2020-09-06T14:01:36.000+07:00
298926978238,Lam Dong 643,Lam Dong,Central Highlands,Store,2023-04-14T18:06:18.000+07:00
636039505566,Thua Thien Hue 669,Thua Thien Hue,North Central Coast,Shop,2023-12-24T08:06:55.000+07:00
734085836394,Bac Lieu 262,Bac Lieu,Mekong River Delta,Store,2020-01-09T03:40:45.000+07:00
597941944516,Thai Binh 886,Thai Binh,Red River Delta,Retailer,2024-06-19T17:16:38.000+07:00
308547951586,Dong Thap 140,Dong Thap,Mekong River Delta,Retailer,2023-08-02T11:41:28.000+07:00
143110962171,Thanh Hoa 104,Thanh Hoa,North Central Coast,Convenience Store,2024-11-10T09:14:08.000+07:00
389419958035,Hung Yen 669,Hung Yen,North East,Convenience Store,2020-04-23T22:29:38.000+07:00
892275691168,Quang Binh 126,Quang Binh,North Central Coast,Convenience Store,2023-04-25T07:38:25.000+07:00
645188860820,Ha Tinh 454,Ha Tinh,North Central Coast,Supermarket,2023-08-08T15:42:26.000+07:00
981820290528,Binh Dinh 659,Binh Dinh,South Central Coast,Shop,2020-07-10T14:13:07.000+07:00
270517684727,Hoa Binh 803,Hoa Binh,North West,Online Store,2021-10-07T12:43:14.000+07:00
858301563432,Thai Binh 380,Thai Binh,Red River Delta,Wholesaler,2023-03-27T19:53:50.000+07:00
742637798041,Can Tho 738,Can Tho,Mekong River Delta,Retailer,2021-01-02T20:20:41.000+07:00
641072012003,Lam Dong 230,Lam Dong,Central Highlands,Shop,2021-11-26T19:13:43.000+07:00
833304432970,Hai Duong 933,Hai Duong,North East,Supermarket,2024-02-29T13:59:58.000+07:00
820880623776,Thai Binh 589,Thai Binh,Red River Delta,Supermarket,2021-04-27T10:46:19.000+07:00
116562143357,Nam Dinh 591,Nam Dinh,Red River Delta,Convenience Store,2023-02-08T18:53:41.000+07:00
684149026597,Ha Nam 472,Ha Nam,Red River Delta,Shop,2023-10-28T05:32:59.000+07:00
584184694094,Kon Tum 711,Kon Tum,Central Highlands,Supermarket,2023-06-11T10:33:06.000+07:00
873956740880,Thanh Hoa 499,Thanh Hoa,North Central Coast,Store,2024-03-08T03:22:38.000+07:00
219882243226,Yen Bai 269,Yen Bai,North West,Store,2023-10-27T01:46:58.000+07:00
999336296770,Ha Tinh 286,Ha Tinh,North Central Coast,Online Store,2022-04-03T12:37:51.000+07:00
393225944202,Nghe An 254,Nghe An,North Central Coast,Store,2022-11-02T12:04:47.000+07:00
