client_id,first_issue_date,first_redeem_date,age,gender
C00001,2023-09-25 00:00:00,2024-03-26 00:00:00,19,F
C00002,2020-01-31 00:00:00,2020-09-13 00:00:00,23,F
C00003,2021-09-25 00:00:00,2022-05-09 00:00:00,51,M
C00004,2023-08-13 00:00:00,2024-01-04 00:00:00,31,M
C00005,2021-07-21 00:00:00,2022-02-16 00:00:00,39,M
C00006,2023-05-08 00:00:00,2024-04-03 00:00:00,48,M
C00007,2022-08-06 00:00:00,2023-01-13 00:00:00,63,F
C00008,2020-04-30 00:00:00,2020-12-03 00:00:00,29,M
C00009,2022-06-26 00:00:00,2022-08-16 00:00:00,18,F
C00010,2023-07-25 00:00:00,2024-03-21 00:00:00,48,F
C00011,2020-08-30 00:00:00,2021-02-27 00:00:00,66,F
C00012,2020-06-08 00:00:00,2021-04-21 00:00:00,21,M
C00013,2022-03-31 00:00:00,2022-07-03 00:00:00,42,M
C00014,2022-09-19 00:00:00,2022-12-07 00:00:00,30,M
C00015,2023-04-29 00:00:00,2023-10-21 00:00:00,58,M
C00016,2023-03-15 00:00:00,2023-11-19 00:00:00,35,F
C00017,2021-10-27 00:00:00,2022-06-03 00:00:00,43,F
C00018,2021-03-23 00:00:00,2021-08-07 00:00:00,49,F
C00019,2020-05-25 00:00:00,2021-05-01 00:00:00,25,M
C00020,2020-04-19 00:00:00,2020-11-06 00:00:00,64,M
C00021,2021-03-05 00:00:00,2021-05-16 00:00:00,22,M
C00022,2020-03-12 00:00:00,2020-05-05 00:00:00,47,M
C00023,2023-04-17 00:00:00,2023-05-31 00:00:00,42,M
C00024,2021-08-31 00:00:00,2022-02-18 00:00:00,40,M
C00025,2021-06-21 00:00:00,2021-07-03 00:00:00,29,M
C00026,2020-02-01 00:00:00,2020-04-05 00:00:00,52,M
C00027,2021-09-11 00:00:00,2021-12-03 00:00:00,42,M
C00028,2023-04-19 00:00:00,2024-03-13 00:00:00,55,F
C00029,2023-05-25 00:00:00,2024-03-14 00:00:00,36,M
C00030,2022-05-02 00:00:00,2022-11-14 00:00:00,63,F
